artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#,key_NA,mode_Major,mode_Minor,new_releases_2010,all_playlists,log_in_spotify_playlists,log_in_apple_playlists,log_in_deezer_playlists,log_all_playlists,log_speechiness_%,log_danceability_%
3,2023,6,2,1298,38,107753850.0,44,64,57,10,110,106,72,17,64,7,0,10,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1399,7.1693500166706,3.8066624897703196,4.060443010546419,7.24422751560335,1.791759469228055,4.290459441148391
3,2023,4,6,4277,66,177740666.0,145,111,213,11,810,128,60,23,91,0,0,12,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4635,8.361240889642351,4.983606621708336,5.365976015021851,8.441607204459642,1.3862943611198906,4.110873864173311
1,2023,2,24,1133,39,153372011.0,14,71,23,10,176,107,92,55,70,18,0,15,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1170,7.033506484287697,2.70805020110221,3.1780538303479458,7.065613363597717,2.0794415416798357,4.532599493153256
1,2023,6,15,2259,59,57876440.0,0,0,109,17,0,130,67,96,88,12,19,8,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2368,7.723120092266331,0.0,4.700480365792417,7.7702232041587855,1.6094379124341003,4.219507705176107
1,2012,10,15,18371,83,1813673666.0,250,122,3394,19,0,123,45,13,54,70,0,9,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,22015,9.818583045445685,5.5254529391317835,8.130059039992796,9.99952474073307,1.6094379124341003,3.828641396489095
1,2019,11,29,43899,69,3703895074.0,672,199,3421,20,0,171,50,38,80,0,0,9,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,47992,10.689669599063263,6.511745329644728,8.137980454452139,10.77881044592198,2.0794415416798357,3.9318256327243257
1,2023,2,24,2649,42,256483385.0,67,79,57,1,615,137,64,88,72,51,0,17,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2773,7.882314918980268,4.219507705176107,4.060443010546419,7.928045600874777,1.791759469228055,4.174387269895637
1,2022,5,26,6804,45,1214083358.0,139,111,161,15,210,125,84,85,68,58,0,22,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,7104,8.825412915085566,4.941642422609304,5.087596335232384,8.868554040531201,1.6094379124341003,4.442651256490317
1,2023,7,14,525,41,16011326.0,34,115,39,6,216,128,86,42,72,59,0,9,19,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,598,6.26530121273771,3.5553480614894135,3.6888794541139363,6.395261598115449,2.995732273553991,4.465908118654584
1,2020,7,24,7923,29,812019557.0,106,112,142,4,215,130,61,53,58,55,0,27,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,8171,8.977651407818442,4.672828834461906,4.962844630259907,9.008468955937513,1.6094379124341003,4.127134385045092
2,2023,5,4,731,15,111947664.0,27,17,73,4,167,130,86,59,96,50,1,9,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,831,6.595780513961311,3.332204510175204,4.30406509320417,6.723832440821209,1.791759469228055,4.465908118654584
2,2023,2,3,5184,41,156338624.0,154,84,102,14,37,133,70,86,81,25,0,25,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,5440,8.553525120663627,5.043425116919247,4.634728988229636,8.601718146485926,1.791759469228055,4.2626798770413155
3,2022,6,24,3107,39,720434240.0,38,0,4,0,0,101,88,72,59,62,0,9,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3149,8.041734711487537,3.6635616461296463,1.6094379124341003,8.055157731819678,1.3862943611198906,4.48863636973214
2,2023,3,24,4053,50,357925728.0,82,121,182,12,171,95,77,53,64,74,0,17,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4317,8.307459327011946,4.418840607796598,5.209486152841421,8.370547611074752,2.70805020110221,4.356708826689592
2,2022,10,6,4637,38,674072710.0,63,79,89,11,16,98,90,40,59,0,0,10,29,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4789,8.442038517815478,4.1588830833596715,4.499809670330265,8.474285690404962,3.4011973816621555,4.51085950651685
1,1999,1,1,31358,43,1755214421.0,196,2,4053,5,0,173,43,28,66,0,0,23,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,35607,10.353256586200818,5.2832037287379885,8.307459327011946,10.48032561069569,1.3862943611198906,3.784189633918261
